model,revision,method,context,batch,tp,v_rank,base_rank,residual_rank,page_size,sparse_budget,sink,recent,k_residency,dtype,gpu,repeat,run_id,stage,median_ms,p10_ms,p90_ms,collective,communicated_width,communicated_elements_per_rank,payload_bytes_per_rank,ring_bytes_per_rank
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,c1_ar_b1,total,0.08563200011849403,0.08284799754619598,0.0939520001411438,all_reduce,2048,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,basiskv_ag_b1,projection,0.012608000077307224,0.01228800043463707,0.01587199978530407,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,basiskv_ag_b1,collective,0.017008000053465366,0.016256000846624374,0.017983999103307724,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,basiskv_ag_b1,reconstruction,0.02473600022494793,0.024607999250292778,0.024992000311613083,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,1,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,2,basiskv_ag_b1,total,0.04137599840760231,0.040511999279260635,0.04243199899792671,all_gather,256,256,512,3584.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,dense_ar_b2,projection,0.013632000423967838,0.013183999806642532,0.014944000169634819,all_reduce,4096,8192,16384,28672.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,dense_ar_b2,collective,0.03649599850177765,0.03471999987959862,0.04198399931192398,all_reduce,4096,8192,16384,28672.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,dense_ar_b2,reconstruction,0.010048000141978264,0.009759999811649323,0.010879999957978725,all_reduce,4096,8192,16384,28672.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,dense_ar,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,dense_ar_b2,total,0.07401599735021591,0.07184000313282013,0.0814720019698143,all_reduce,4096,8192,16384,28672.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_wire_b2,projection,0.013632000423967838,0.01321600005030632,0.018079999834299088,all_reduce,1024,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_wire_b2,collective,0.03670400008559227,0.03542400151491165,0.03932800143957138,all_reduce,1024,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_wire_b2,reconstruction,0.014336000196635723,0.01414399966597557,0.01772800087928772,all_reduce,1024,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_wire,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_wire_b2,total,0.07041599974036217,0.06867200136184692,0.0772159993648529,all_reduce,1024,2048,4096,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_cap_b2,projection,0.013535999692976475,0.013151999562978745,0.017311999574303627,all_reduce,2048,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_cap_b2,collective,0.03747199848294258,0.03526400029659271,0.04428799822926521,all_reduce,2048,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_cap_b2,reconstruction,0.017216000705957413,0.016767999157309532,0.01958400011062622,all_reduce,2048,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,lr_ar_cap,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,lr_ar_cap_b2,total,0.06935999915003777,0.06566400080919266,0.07948800176382065,all_reduce,2048,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,c1_ar_b2,projection,0.017712000757455826,0.017216000705957413,0.02271999977529049,all_reduce,2048,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,c1_ar_b2,collective,0.03519999980926514,0.033344000577926636,0.04601600021123886,all_reduce,2048,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,c1_ar_b2,reconstruction,0.020479999482631683,0.020128000527620316,0.02364799939095974,all_reduce,2048,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,c1_ar,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,c1_ar_b2,total,0.09401600062847137,0.09219200164079666,0.10169599950313568,all_reduce,2048,4096,8192,14336.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,basiskv_ag_b2,projection,0.012864000163972378,0.012512000277638435,0.014816000126302242,all_gather,256,512,1024,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,basiskv_ag_b2,collective,0.01692800037562847,0.01635199971497059,0.018112000077962875,all_gather,256,512,1024,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,basiskv_ag_b2,reconstruction,0.020495999604463577,0.019999999552965164,0.023584000766277313,all_gather,256,512,1024,7168.0
Qwen/Qwen3-8B-Base,49e3418fbbbca6ecbdf9608b4d22e5a407081db4,basiskv_ag,n/a,2,8,64,,,,,,,n/a,bfloat16,NVIDIA L40S,0,basiskv_ag_b2,total,0.03880000114440918,0.03766399994492531,0.04108799993991852,all_gather,256,512,1024,7168.0
