figure,context_tokens,batch,plotted_method,newly_rerun,repeat_index,input_metric,source_file,metric_field,value
3,32768,1,dense,False,1,tail,results/system_benchmarks/tp1_offline/formal/request_dense_t32768_c1_n128/result.json,measurement.steady_tail_wall_mean_ms,29.920833315364682
3,32768,1,dense,False,2,tail,results/system_benchmarks/tp1_offline/formal/request_dense_t32768_c2_n128/result.json,measurement.steady_tail_wall_mean_ms,29.92711777102437
3,32768,1,dense,False,0,build,results/system_benchmarks/tp1_offline/formal/request_dense_t32768_c0_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,32768,1,dense,False,1,build,results/system_benchmarks/tp1_offline/formal/request_dense_t32768_c1_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,32768,1,dense,False,2,build,results/system_benchmarks/tp1_offline/formal/request_dense_t32768_c2_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,32768,1,basis,False,0,request,results/system_benchmarks/tp1_offline/formal/request_basis_t32768_c0_n128/result.json,measurement.request_seconds,8.308955010958016
3,32768,1,basis,False,1,request,results/system_benchmarks/tp1_offline/formal/request_basis_t32768_c1_n128/result.json,measurement.request_seconds,8.306144719012082
3,32768,1,basis,False,2,request,results/system_benchmarks/tp1_offline/formal/request_basis_t32768_c2_n128/result.json,measurement.request_seconds,8.302002581767738
3,32768,1,basis,False,0,tail,results/system_benchmarks/tp1_offline/formal/request_basis_t32768_c0_n128/result.json,measurement.steady_tail_wall_mean_ms,28.821501272587895
3,32768,1,basis,False,1,tail,results/system_benchmarks/tp1_offline/formal/request_basis_t32768_c1_n128/result.json,measurement.steady_tail_wall_mean_ms,28.810643855280972
3,32768,1,basis,False,2,tail,results/system_benchmarks/tp1_offline/formal/request_basis_t32768_c2_n128/result.json,measurement.steady_tail_wall_mean_ms,28.83638305220384
3,32768,1,basis,False,0,build,results/system_benchmarks/tp1_offline/formal/request_basis_t32768_c0_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,32768,1,basis,False,1,build,results/system_benchmarks/tp1_offline/formal/request_basis_t32768_c1_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,32768,1,basis,False,2,build,results/system_benchmarks/tp1_offline/formal/request_basis_t32768_c2_n128/result.json,build_profile.prompt_specific_fit_seconds,0.0
3,32768,1,shadowkv,False,0,request,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t32768_c0_n128/result.json,measurement.request_seconds,19.131371296942234
3,32768,1,shadowkv,False,1,request,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t32768_c1_n128/result.json,measurement.request_seconds,19.16072210902348
3,32768,1,shadowkv,False,2,request,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t32768_c2_n128/result.json,measurement.request_seconds,19.04387258272618
3,32768,1,shadowkv,False,0,tail,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t32768_c0_n128/result.json,measurement.steady_tail_wall_mean_ms,28.820270433317166
3,32768,1,shadowkv,False,1,tail,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t32768_c1_n128/result.json,measurement.steady_tail_wall_mean_ms,29.774293353831446
3,32768,1,shadowkv,False,2,tail,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t32768_c2_n128/result.json,measurement.steady_tail_wall_mean_ms,29.252214323695714
3,32768,1,shadowkv,False,0,build,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t32768_c0_n128/result.json,build_profile.construction_including_preparation_seconds,11.794674215372652
3,32768,1,shadowkv,False,1,build,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t32768_c1_n128/result.json,build_profile.construction_including_preparation_seconds,11.670887409243733
3,32768,1,shadowkv,False,2,build,results/system_benchmarks/tp1_offline/formal/request_shadowkv_t32768_c2_n128/result.json,build_profile.construction_including_preparation_seconds,11.54006833024323
3,65536,1,dense,False,0,request,results/system_benchmarks/tp1_offline/formal/request_dense_t65536_c0_n128/result.json,measurement.request_seconds,16.70936464285478
3,65536,1,dense,False,1,request,results/system_benchmarks/tp1_offline/formal/request_dense_t65536_c1_n128/result.json,measurement.request_seconds,16.707499667070806
3,65536,1,dense,False,2,request,results/system_benchmarks/tp1_offline/formal/request_dense_t65536_c2_n128/result.json,measurement.request_seconds,16.72291982267052
