layer,group,document,query_position,page,token_start,token_end_inclusive,pinned,teacher_mass_mean,teacher_non_sink_mass_mean,teacher_mass_h0,teacher_mass_h1,teacher_mass_h2,teacher_mass_h3,exact.group_score,exact.rank_min,exact.rank_max,exact.owner,exact.selected,exact.cutoff,exact.score_minus_cutoff,exact.global_owner_head,exact.rank_min_minus_63,q32.group_score,q32.rank_min,q32.rank_max,q32.owner,q32.selected,q32.cutoff,q32.score_minus_cutoff,q32.global_owner_head,q32.rank_min_minus_63,q32.status,qgram32.group_score,qgram32.rank_min,qgram32.rank_max,qgram32.owner,qgram32.selected,qgram32.cutoff,qgram32.score_minus_cutoff,qgram32.global_owner_head,qgram32.rank_min_minus_63,qgram32.status
0,0,64,32767,30,960,991,False,2.0400275388965383e-05,2.040203798969742e-05,5.1436441026453394e-06,3.5238714615574984e-13,1.8563534467830323e-05,5.789391798316501e-05,5.790089926449582e-05,962,962,3,False,0.004178705625236034,-0.004120804725971539,3,899,5.599215000984259e-05,965,965,3,False,0.004122087731957436,-0.004066095581947593,3,902,neither,5.579324351856485e-05,957,957,3,False,0.003921698313206434,-0.0038659050696878694,3,894,neither
0,0,64,32767,31,992,1023,False,1.1084195648436435e-05,1.1084994184784591e-05,2.368251216466888e-06,7.64135662297688e-14,1.5869331036810763e-05,2.6099200113094412e-05,2.6102346964762546e-05,1004,1004,3,False,0.004178705625236034,-0.004152603278271272,3,941,2.7930911528528668e-05,1003,1003,3,False,0.004122087731957436,-0.004094156820428907,3,940,neither,2.701772791624535e-05,1003,1003,3,False,0.003921698313206434,-0.003894680585290189,3,940,neither
0,0,64,32767,32,1024,1055,False,1.570417771290522e-05,1.57053473230917e-05,4.1796838559093885e-06,1.2717012772694991e-12,2.0399353161337785e-05,3.8237671105889603e-05,3.8242284063016996e-05,987,987,3,False,0.004178705625236034,-0.004140463341173017,3,924,3.426867988309823e-05,992,992,3,False,0.004122087731957436,-0.004087819052074337,3,929,neither,3.2527281291550025e-05,994,994,3,False,0.003921698313206434,-0.0038891710319148842,3,931,neither
0,0,64,32767,33,1056,1087,False,8.145568244799506e-06,8.1458729255246e-06,2.1061052848381223e-06,1.8117318626234558e-12,2.0827243133680895e-05,9.648921150073875e-06,2.082728678942658e-05,1008,1008,2,False,0.004178705625236034,-0.004157878338446608,2,945,1.917809095175471e-05,1010,1010,2,False,0.004122087731957436,-0.004102909641005681,2,947,neither,1.8767299479804933e-05,1010,1010,2,False,0.003921698313206434,-0.0039029310137266293,2,947,neither
0,0,64,32767,34,1088,1119,False,3.123949863947928e-05,3.1242179829860106e-05,1.0730738722486421e-05,2.0611457419300594e-12,2.6368428734713234e-05,8.785883255768567e-05,8.786942635197192e-05,916,916,3,False,0.004178705625236034,-0.0040908361988840625,3,853,9.357374801766127e-05,902,902,3,False,0.004122087731957436,-0.004028513983939774,3,839,neither,8.57510749483481e-05,915,915,3,False,0.003921698313206434,-0.003835947238258086,3,852,neither
0,0,64,32767,35,1120,1151,False,3.9838458178564906e-05,3.984229260822758e-05,1.685122879280243e-05,2.0898575838618205e-12,1.654077277635224e-05,0.00012596182932611555,0.00012597702152561396,853,853,3,False,0.004178705625236034,-0.00405272860371042,3,790,0.0001277406990993768,857,857,3,False,0.004122087731957436,-0.003994347032858059,3,794,neither,0.00011401061783544719,869,869,3,False,0.003921698313206434,-0.003807687695370987,3,806,neither
0,0,64,32767,36,1152,1183,False,5.059563409304246e-05,5.0600283429957926e-05,2.2227695808396675e-05,2.264020394771027e-11,2.7522220989339985e-05,0.00015263259410858154,0.00015265100228134543,806,806,3,False,0.004178705625236034,-0.004026054622954689,3,743,0.00016549599240534008,784,784,3,False,0.004122087731957436,-0.0039565917395520955,3,721,neither,0.00017608424241188914,758,758,3,False,0.003921698313206434,-0.003745614070794545,3,695,neither
0,0,64,32767,37,1184,1215,False,3.5755219869315624e-05,3.5758621379500255e-05,7.697753972024657e-06,1.9596277378575166e-10,2.3374428565148264e-05,0.0001119485023082234,0.00011196200648555532,879,879,3,False,0.004178705625236034,-0.004066743618750479,3,816,8.899577369447798e-05,909,909,3,False,0.004122087731957436,-0.004033091958262958,3,846,neither,7.278151315404102e-05,932,932,3,False,0.003921698313206434,-0.0038489168000523932,3,869,neither
0,0,64,32767,38,1216,1247,False,2.5295565137639642e-05,2.529725679778494e-05,2.4774495614110492e-05,6.0684179035985775e-12,2.1934019969194196e-05,5.447374132927507e-05,5.448030788102187e-05,969,969,3,False,0.004178705625236034,-0.0041242253173550125,3,906,6.35030519333668e-05,953,953,3,False,0.004122087731957436,-0.004058584680024069,3,890,neither,5.297285315464251e-05,965,965,3,False,0.003921698313206434,-0.0038687254600517917,3,902,neither
0,0,64,32767,39,1248,1279,False,2.449495150358416e-05,2.4497152480762452e-05,1.2771073670592159e-05,1.3700382495152041e-10,1.307251750404248e-05,7.213607750600204e-05,7.214477227535099e-05,936,936,3,False,0.004178705625236034,-0.004106560852960683,3,873,6.722984107909724e-05,942,942,3,False,0.004122087731957436,-0.004054857890878338,3,879,neither,5.788733687950298e-05,952,952,3,False,0.003921698313206434,-0.0038638109763269313,3,889,neither
0,0,64,32767,40,1280,1311,False,1.6437657905044034e-05,1.643832183617633e-05,3.379242480150424e-05,8.907181658912577e-09,1.1874578376591671e-05,2.007472539844457e-05,3.3792632166296244e-05,993,993,0,False,0.004178705625236034,-0.004144912993069738,0,930,2.4516248231520876e-05,1005,1005,0,False,0.004122087731957436,-0.004097571483725915,0,942,neither,2.6667645215638913e-05,1004,1004,0,False,0.003921698313206434,-0.0038950306679907953,0,941,neither
0,0,64,32767,41,1312,1343,False,1.8251710571348667e-05,1.825235813157633e-05,3.6229648685548455e-05,1.9809667239911732e-09,1.7452553947805427e-05,1.9322658772580326e-05,3.6229874240234494e-05,989,989,0,False,0.004178705625236034,-0.0041424757509958,0,926,6.909519288456067e-05,941,941,0,False,0.004122087731957436,-0.004052992539072875,0,878,neither,3.58439538103994e-05,988,988,0,False,0.003921698313206434,-0.003885854359396035,0,925,neither
0,0,64,32767,42,1344,1375,False,1.4512390407617204e-05,1.451364551030565e-05,5.586504812526982e-06,1.3457705783093132e-10,1.1324547813273966e-05,4.11383734899573e-05,4.1143335693050176e-05,983,983,3,False,0.004178705625236034,-0.004137562289542984,3,920,5.485201472765766e-05,970,970,3,False,0.004122087731957436,-0.004067235717229778,3,907,neither,4.095803160453215e-05,981,981,3,False,0.003921698313206434,-0.003880740281601902,3,918,neither
0,0,64,32767,43,1376,1407,False,1.242088637809502e-05,1.2422192412486766e-05,1.7444064042138052e-06,1.0104021569076749e-12,4.7956455091480166e-06,4.314349280321039e-05,4.3148695112904534e-05,980,980,3,False,0.004178705625236034,-0.00413555693012313,3,917,4.5143318857299164e-05,981,981,3,False,0.004122087731957436,-0.0040769444131001364,3,918,neither,3.90705608879216e-05,986,986,3,False,0.003921698313206434,-0.0038826277523185126,3,923,neither
0,0,64,32767,44,1408,1439,False,4.232691026118118e-06,4.232916126056807e-06,4.982800419384148e-06,4.0330708065729193e-13,4.830378202314023e-06,7.117586392269004e-06,7.118444500520127e-06,1023,1023,3,False,0.004178705625236034,-0.004171587180735514,3,960,7.830590220692102e-06,1023,1023,3,False,0.004122087731957436,-0.0041142571417367435,3,960,neither,7.344687219301704e-06,1023,1023,3,False,0.003921698313206434,-0.0039143536259871325,3,960,neither
0,0,64,32767,45,1440,1471,False,3.973433194914833e-06,3.97375515603926e-06,2.0249560748197837e-06,1.8485120118622023e-12,3.336161626066314e-06,1.0532612577662803e-05,1.0533882232266478e-05,1022,1022,3,False,0.004178705625236034,-0.004168171743003768,3,959,1.1470488061604556e-05,1021,1021,3,False,0.004122087731957436,-0.004110617243895831,3,958,neither,1.0003111128753517e-05,1022,1022,3,False,0.003921698313206434,-0.003911695202077681,3,959,neither
0,0,64,32767,46,1472,1503,False,8.017847903829534e-06,8.018454536795616e-06,7.639947398274671e-06,1.8183746730571215e-09,4.800303486263147e-06,1.962932219612412e-05,1.9631690520327538e-05,1010,1010,3,False,0.004178705625236034,-0.004159073934715707,3,947,1.7424128600396216e-05,1016,1016,3,False,0.004122087731957436,-0.004104663603357039,3,953,neither,1.486498695157934e-05,1016,1016,3,False,0.003921698313206434,-0.003906833326254855,3,953,neither
0,0,64,32767,47,1504,1535,False,8.683655323693529e-06,8.684550266480073e-06,1.6533989537492744e-06,7.231604095929434e-13,3.55748147740087e-06,2.9523740522563457e-05,2.9527300284826197e-05,1001,1001,3,False,0.004178705625236034,-0.004149178324951208,3,938,3.226527405786328e-05,998,998,3,False,0.004122087731957436,-0.004089822457899572,3,935,neither,2.9039243599982e-05,999,999,3,False,0.003921698313206434,-0.0038926590696064522,3,936,neither
0,0,64,32767,48,1536,1567,False,8.714430805412121e-06,8.715383955859579e-06,6.838631065875234e-07,5.324851345446524e-13,2.599243543954799e-06,3.157461469527334e-05,3.157842002110556e-05,997,997,3,False,0.004178705625236034,-0.004147127205214929,3,934,3.381204078323208e-05,993,993,3,False,0.004122087731957436,-0.0040882756911742035,3,930,neither,2.8896778530906886e-05,1000,1000,3,False,0.003921698313206434,-0.0038928015346755274,3,937,neither
0,0,64,32767,49,1568,1599,False,1.1913474736502394e-05,1.1914585229533259e-05,5.9793655964313075e-06,3.6056990726507365e-12,5.26621806784533e-06,3.6408313462743536e-05,3.6412704503163695e-05,988,988,3,False,0.004178705625236034,-0.004142292920732871,3,925,4.8079633415909484e-05,979,979,3,False,0.004122087731957436,-0.004074008098541526,3,916,neither,3.5596953239291906e-05,989,989,3,False,0.003921698313206434,-0.0038861013599671423,3,926,neither
0,0,64,32767,50,1600,1631,False,4.902410182694439e-06,4.902827640762553e-06,2.0177715214231284e-06,1.9680346761974388e-12,3.924231805285672e-06,1.3667636267200578e-05,1.366928427160019e-05,1019,1019,3,False,0.004178705625236034,-0.004165036340964434,3,956,1.4915091924194712e-05,1017,1017,3,False,0.004122087731957436,-0.004107172640033241,3,954,neither,1.3596669305115938e-05,1018,1018,3,False,0.003921698313206434,-0.003908101643901318,3,955,neither
0,0,64,32767,51,1632,1663,False,9.540422070131171e-06,9.54127790464554e-06,3.223073917979491e-06,2.5311840297359556e-12,6.834778560005361e-06,2.8103833756176755e-05,2.810722253343556e-05,1002,1002,3,False,0.004178705625236034,-0.004150598402702599,3,939,2.3922266336739995e-05,1006,1006,3,False,0.004122087731957436,-0.004098165465620696,3,943,neither,2.374679570493754e-05,1006,1006,3,False,0.003921698313206434,-0.0038979515175014967,3,943,neither
0,0,64,32767,52,1664,1695,False,5.0921112233481836e-06,5.09254550706828e-06,1.4896102129569044e-06,4.995404090379907e-11,4.615121724782512e-06,1.4263662706071045e-05,1.4265382560552098e-05,1017,1017,3,False,0.004178705625236034,-0.004164440242675482,3,954,1.3686155398318078e-05,1019,1019,3,False,0.004122087731957436,-0.0041084015765591175,3,956,neither,1.3160132766643073e-05,1019,1019,3,False,0.003921698313206434,-0.003908538180439791,3,956,neither
0,0,64,32767,53,1696,1727,False,5.811744358652504e-06,5.81219364903518e-06,2.274909093102906e-06,4.194133929047439e-11,6.293485512287589e-06,1.467854053771589e-05,1.468031041440554e-05,1016,1016,3,False,0.004178705625236034,-0.004164025314821629,3,953,1.9036331650568172e-05,1011,1011,3,False,0.004122087731957436,-0.0041030514003068674,3,948,neither,1.5656118193874136e-05,1014,1014,3,False,0.003921698313206434,-0.00390604219501256,3,951,neither
