model,method,rank,calibration_context,document,overall_nll,delta_nll,nll_0_8k,nll_8_32k,nll_32_64k,nll_64_128k,delta_nll_0_8k,delta_nll_8_32k,delta_nll_32_64k,delta_nll_64_128k
Qwen3-8B-Base,Joint C1,64,32768,0,2.5819922595955633,0.17335039526105156,1.9538883426176212,2.747051337027298,2.6327637704109916,2.5732127556680124,0.07895947456105601,0.1426890594270973,0.14806884502887385,0.20928659611122313
Qwen3-8B-Base,Joint C1,64,32768,1,2.838029507418874,0.171349429842222,2.821604387217456,3.1625121591748204,2.75476680472202,2.760032753756554,0.12778817745061488,0.16838382761042903,0.09858774746571797,0.21428686372438444
Qwen3-8B-Base,Joint C1,64,32768,2,2.7484653887696693,0.1909884176170089,2.4937413501414154,2.8171675570199,2.461513125668985,2.898014825274332,0.11185473390644818,0.19935625756977382,0.16761216523319566,0.20942910680626037
Qwen3-8B-Base,Joint C1,64,32768,3,2.4921133118031182,0.18159041105465468,0.8336223793858958,2.5084660895670075,2.3391175481154414,2.769764961974351,0.062382465046467495,0.14872836997852357,0.1567772430730221,0.22121943473114003
Qwen3-8B-Base,Joint C1,64,32768,4,2.2370175948012476,0.1552803276788426,2.010190409924412,2.0832441192823246,2.1982601137098605,2.3424113256679737,0.08838989651016238,0.123101941918357,0.14198829934642365,0.18235351973433955
Qwen3-8B-Base,Joint C1,64,32768,5,2.600991705580666,0.1648495630918272,2.6017903585534516,2.2334841673195363,2.6259488809301743,2.726228625318714,0.12369089731268357,0.13326946116827054,0.1661095976641569,0.1812062892179891
Qwen3-8B-Base,Joint C1,64,32768,6,2.3360591375198148,0.1699237063478516,2.2243397559111036,1.9212069554065803,2.4967809532609806,2.425231015940305,0.0846382936347454,0.1385328197794895,0.16411201099055273,0.1952605117266515
Qwen3-8B-Base,Joint C1,64,32768,7,2.6381924226885323,0.18324642869673413,2.3331573078450063,2.2209122987770296,2.804093354480769,2.7498467381481944,0.10635044044633313,0.13234351968433478,0.17035897145533552,0.2183895733887189
Qwen3-8B-Base,Joint C1,96,32768,0,2.4558584812201607,0.04721661688564893,1.8882434455200736,2.6435104763233244,2.5212220410007653,2.423750421510584,0.013314577463508392,0.039148198723123695,0.03652711561864752,0.05982426195379453
Qwen3-8B-Base,Joint C1,96,32768,1,2.714704651624801,0.04802457404814886,2.7201895510058702,3.0327195878627147,2.682058685712487,2.6110865047620297,0.026373341239029013,0.03859125629832327,0.025879628456184633,0.0653406147298603
