method,rank,layer,fit_rel_mse,heldout_rel_mse
Joint C1,64,28,0.14812089149790383,0.1692656361043141
Joint C1,64,29,0.14616019121484522,0.2016010773946651
Joint C1,64,30,0.11150353799651937,0.14617349399069235
Joint C1,64,31,0.14030260009340492,0.19934649389727996
Joint C1,64,32,0.11044541155803618,0.15089976826172055
Joint C1,64,33,0.1246418284154718,0.20033746849423228
Joint C1,64,34,0.06052920774178229,0.09238228946562134
Joint C1,64,35,0.04659335945624622,0.06197585265743409
Joint C1,96,0,0.006589398523802889,0.006732225717860397
Joint C1,96,1,0.015293000793731608,0.01648238734872343
Joint C1,96,2,0.020545765882443178,0.0239922933103659
Joint C1,96,3,0.02039526365178117,0.023195266280714038
Joint C1,96,4,0.027466642486983613,0.03360867686370645
Joint C1,96,5,0.027780683940043793,0.030633385131343158
Joint C1,96,6,0.03991814156124107,0.04314491721960845
Joint C1,96,7,0.04999289405038605,0.053572880748088525
Joint C1,96,8,0.06060045978291793,0.06706751529865526
Joint C1,96,9,0.06223332250835611,0.07804839014452203
Joint C1,96,10,0.0589287006975907,0.07213246934044494
Joint C1,96,11,0.05319232586801289,0.06877555609419093
Joint C1,96,12,0.03714373279693688,0.046971951285385234
Joint C1,96,13,0.042921919533546626,0.05423835020284665
Joint C1,96,14,0.053289687205564026,0.06471026863589494
Joint C1,96,15,0.052222947628559856,0.06130374941145081
Joint C1,96,16,0.05445983787428774,0.06679792889165373
Joint C1,96,17,0.033975105216511134,0.04667039321817946
Joint C1,96,18,0.047003008174496874,0.058922975094273494
Joint C1,96,19,0.032124711039701014,0.03973208039174029
Joint C1,96,20,0.051921812559645564,0.06359154419557013
Joint C1,96,21,0.056820389045592584,0.06626952038366951
Joint C1,96,22,0.04852981581427905,0.05857459140223647
Joint C1,96,23,0.05205409015456793,0.06191490212307222
Joint C1,96,24,0.029685435493646654,0.03912393616295782
Joint C1,96,25,0.05099810395774554,0.06248712681860764
Joint C1,96,26,0.06068531939522631,0.08373120045259508
Joint C1,96,27,0.0538162870043848,0.07393607196122005
Joint C1,96,28,0.059090931248187185,0.07062561544727766
Joint C1,96,29,0.055669478483239755,0.08299848692986682
Joint C1,96,30,0.04403207405736687,0.060432890108763515
Joint C1,96,31,0.053930380516505325,0.08076822194908659
Joint C1,96,32,0.04129407952343046,0.060687184217791554
Joint C1,96,33,0.04646846405838752,0.08161828922958043
Joint C1,96,34,0.023509459149359428,0.038511023973136924
Joint C1,96,35,0.019144287186059355,0.026857354366987454
