layer,method,base_rank,residual_rank,route_scan_width,additional_routing_state,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
11,exact_k,128,0,128,128,0.9310924296732992,0.8804181499872357,1.0,1.0,0.0,0.007497243437319818,0.010538326297185423
12,r16_only,0,16,16,16,0.9665380410151556,0.9435657251160592,0.7807693481445312,0.7699875067919493,0.3150999755016528,0.0025118869397022557,0.002675799540180549
12,r20_only,0,20,20,20,0.9679106156108901,0.9459181284764782,0.8163528442382812,0.8073210152797401,0.20720814069500193,0.0023217166469777614,0.0024608985088127693
12,b4r16,4,16,20,16,0.9698356360895559,0.9490859053330496,0.8870964050292969,0.8815437683369964,0.1010047433010186,0.0019522058572772091,0.001988057653454149
12,b16_only,16,0,16,0,0.9569903090596199,0.926325638894923,0.8208541870117188,0.8120437324978411,0.6931831869442249,0.0032933801926174513,0.0033226616892350655
12,b16r16,16,16,32,16,0.9701668791240081,0.9495978192426264,0.9014854431152344,0.8966404616367072,0.0768703888716118,0.001912304815573746,0.0019436068701154166
12,r32_only,0,32,32,32,0.9696973176905885,0.948836965369992,0.8726844787597656,0.8664230566937476,0.09109426914073993,0.001986141835397851,0.002033117878446219
12,exact_k,128,0,128,128,0.9710123734548688,0.9509858674136922,1.0,1.0,0.0,0.001786989319959292,0.0018036802153642696
13,r16_only,0,16,16,16,0.9400922745699063,0.8890802629757673,0.6265296936035156,0.6081622950732708,0.6508697861572728,0.004860877115231913,0.007008367061711462
13,r20_only,0,20,20,20,0.9450842994265258,0.8975631092907861,0.6755599975585938,0.6596039248397574,0.4637592284998391,0.004048341309715095,0.005867564424897447
13,b4r16,4,16,20,16,0.9503215531585738,0.9065298505593091,0.7846908569335938,0.774101878865622,0.18958066731283907,0.003292668465095443,0.004742709560773733
13,b16_only,16,0,16,0,0.9324175929650664,0.871968416380696,0.62518310546875,0.6067494824528694,0.752969258261146,0.005958307067718606,0.008804000476624448
13,b16r16,16,16,32,16,0.9514418334001675,0.908394516678527,0.8099861145019531,0.8006411646492779,0.1469889540821896,0.0031187654089870945,0.0045211695820773935
13,r32_only,0,32,32,32,0.9508791132830083,0.9074359693331644,0.7723960876464844,0.7612024482805282,0.1972474669892108,0.0032455234411987327,0.00469183241177013
13,exact_k,128,0,128,128,0.9546667389804497,0.9143144632689655,1.0,1.0,0.0,0.0027490592706509954,0.0039655772537009
14,r16_only,0,16,16,16,0.954229446942918,0.9107385972747579,0.65948486328125,0.6427382127731107,0.6280604915227741,0.0034138915290891176,0.0036549948528617083
14,r20_only,0,20,20,20,0.9578431443078443,0.9169708957197145,0.7026901245117188,0.6880683233612217,0.4541776166006457,0.002841704603743745,0.002999825267634987
14,b4r16,4,16,20,16,0.9615033152513206,0.9235833908896893,0.7963218688964844,0.7863049072911963,0.20103280841431115,0.0023264658205793456,0.0024267997113971112
14,b16_only,16,0,16,0,0.9522644598037004,0.9063214655034244,0.6823234558105469,0.6667000165907666,0.5940623806382064,0.0035154608610084345,0.00381126281046669
14,b16r16,16,16,32,16,0.9626492848619819,0.9259589954745024,0.82476806640625,0.8161500996211544,0.1406093121986487,0.0021135636511547045,0.002203825983386674
14,r32_only,0,32,32,32,0.9621450568083674,0.9248318998143077,0.7885589599609375,0.7781602141913027,0.21025147101317998,0.0022167296367197557,0.00230477168311574
14,exact_k,128,0,128,128,0.9650411661714315,0.9306548486929387,1.0,1.0,0.0,0.00184345303183672,0.0019329349628645525
15,r16_only,0,16,16,16,0.9506943651940674,0.8741633368190378,0.6444587707519531,0.6269731300417334,0.6885236677480862,0.005078206323408983,0.006785619756982146
15,r20_only,0,20,20,20,0.9536603051237762,0.8814542555483058,0.683074951171875,0.6674884692765772,0.532016248034779,0.004300152026693593,0.005685796029084251
15,b4r16,4,16,20,16,0.9570382887031883,0.8892934179166332,0.7966270446777344,0.7866250926163048,0.21603409411909524,0.003714419708432523,0.0048352791803065
15,b16_only,16,0,16,0,0.9461047122022137,0.8598795930156484,0.68609619140625,0.6706582946353592,0.6656933405902237,0.007545087120476243,0.01074555574854699
15,b16r16,16,16,32,16,0.9575853366404772,0.8908438797807321,0.8126716613769531,0.803458790644072,0.18132606967992615,0.0035872388694800795,0.00464496815505534
15,r32_only,0,32,32,32,0.9575665846932679,0.8916881581535563,0.7609481811523438,0.7491915307473391,0.27956752199679613,0.0035274215486912606,0.004552967569089927
15,exact_k,128,0,128,128,0.9606552564073354,0.9004311450989917,1.0,1.0,0.0,0.0029995121217369683,0.0038134553669090616
16,r16_only,0,16,16,16,0.9617625132668763,0.8926707771606743,0.6801795959472656,0.6644507195451297,0.6034058852819726,0.003145141091751018,0.004399845237607892
16,r20_only,0,20,20,20,0.96442611515522,0.8996540895896032,0.721282958984375,0.7075755579862744,0.439544180437224,0.0026242191479660107,0.003795173706439481
16,b4r16,4,16,20,16,0.9674730576807633,0.9074698651675135,0.8210563659667969,0.8122558563482016,0.19157742570678238,0.002178835787975782,0.0032804910885736844
16,b16_only,16,0,16,0,0.9524515811353922,0.8620427202549763,0.710723876953125,0.696497177996207,1.0326377497403882,0.003744694653177872,0.00515349560864523
16,b16r16,16,16,32,16,0.9681473927339539,0.909655368886888,0.8416938781738281,0.8339083299506456,0.15104293322656304,0.0020241987927516014,0.00305328060856139
16,r32_only,0,32,32,32,0.9679868201492354,0.9095858222572133,0.80670166015625,0.7971951814834028,0.20531105955888052,0.002047356273992664,0.00306952979426752
16,exact_k,128,0,128,128,0.970120164565742,0.91576388978865,1.0,1.0,0.0,0.001784835215695691,0.0027139958269040477
17,r16_only,0,16,16,16,0.9452665999997407,0.8677293709479272,0.6837844848632812,0.6682328970055096,0.5299321147613227,0.005331012205854698,0.006722040702468776
17,r20_only,0,20,20,20,0.9478799533098936,0.8733577000675723,0.7186470031738281,0.7048099696403369,0.39684401426347904,0.004602985000618334,0.0058195214282041495
17,b4r16,4,16,20,16,0.9511560356477275,0.881232944317162,0.8117103576660156,0.8024502085754648,0.18641655379906297,0.004056715009150995,0.0051713292089124565
17,b16_only,16,0,16,0,0.9331673362758011,0.8271447793813422,0.6835441589355469,0.6679807535838336,1.0099323202157393,0.007381061605172867,0.009191358344456883
17,b16r16,16,16,32,16,0.9516578757902607,0.8822799785993993,0.8242835998535156,0.8156418055295944,0.16047642783087213,0.00395582381935676,0.0050463327556446854
17,r32_only,0,32,32,32,0.9514032445149496,0.8816853071330115,0.7996330261230469,0.7897789084818214,0.17785415929392911,0.0039507577238057446,0.005076768263632347
17,exact_k,128,0,128,128,0.9543367316946387,0.888545372756198,1.0,1.0,0.0,0.003496917079549837,0.004506686121365219
18,r16_only,0,16,16,16,0.9647771490272135,0.8507218796294183,0.684051513671875,0.668513058568351,0.44456860443460755,0.004987184403320165,0.006816148333507979
18,r20_only,0,20,20,20,0.9667138335062191,0.8574600876308978,0.7237091064453125,0.7101210254477337,0.3236259406839963,0.004388412158023415,0.006183210068014948
18,b4r16,4,16,20,16,0.9691024451749399,0.8665136804338545,0.811737060546875,0.8024782218271866,0.16170838568359613,0.0036807917300175235,0.005259176356856918
18,b16_only,16,0,16,0,0.9568035765551031,0.8037191831390373,0.6837005615234375,0.6681448449380696,0.9712706820573658,0.005692103069188364,0.007754171504544515
18,b16r16,16,16,32,16,0.9695098197553307,0.8677923955256119,0.827392578125,0.8189036863623187,0.1345212072628783,0.0035615794570104196,0.0051337982838911694
18,r32_only,0,32,32,32,0.9692202985752374,0.8667069639777765,0.8014259338378906,0.7916599912568927,0.1483269764430588,0.0036010895440382906,0.005248452186568641
18,exact_k,128,0,128,128,0.971027368796058,0.8738825711188838,1.0,1.0,0.0,0.0031825794590209754,0.004675839845069033
19,r16_only,0,16,16,16,0.9513513236306608,0.8084830888547003,0.6919403076171875,0.6767898250836879,0.4041088633239269,0.009313964674046852,0.010689021298512163
19,r20_only,0,20,20,20,0.9531897510169074,0.8146297527709976,0.7279815673828125,0.7146036067279056,0.3028828516835347,0.008407689039312381,0.009856518116561854
19,b4r16,4,16,20,16,0.9557162225246429,0.8230850626714528,0.8118896484375,0.8026383158285171,0.152667052927427,0.007300452575859072,0.008702034642984195
19,b16_only,16,0,16,0,0.9463984151370823,0.7786874935263768,0.6935882568359375,0.6785188201465644,0.6892756478337105,0.01052272271584709,0.01209582182147562
19,b16r16,16,16,32,16,0.9563678324921057,0.8250281739747152,0.8299407958984375,0.8215772246476263,0.12596511833544355,0.0069356636118757505,0.008402397272792735
19,r32_only,0,32,32,32,0.9559530654223636,0.8236691303318366,0.7996788024902344,0.7898269374854863,0.14660199492936954,0.0071300610362838865,0.008606130051046568
19,exact_k,128,0,128,128,0.958477774169296,0.832101188134402,1.0,1.0,0.0,0.006090458651435865,0.007644642875885112
20,r16_only,0,16,16,16,0.9513737396337092,0.8057516734697856,0.6629676818847656,0.6463923170813359,0.4903423137147911,0.008772633392362094,0.021468260787097636
20,r20_only,0,20,20,20,0.9536949023604393,0.8129909283015877,0.6989898681640625,0.6841860867571086,0.37216998790972866,0.007666669496024199,0.01997732842741512
