layer,base_rank,centered_explained_fraction,predictable_energy_captured_fraction,attention_mass_recall,nonsink_mass_recall,page_recall,routed_page_recall,page_kl,attention_rel_mse,post_wo_rel_mse
15,24,0.3527282085999792,0.8421067027500718,0.9466650951653719,0.8610842664493248,0.6923141479492188,0.6771820519352332,0.645618451264454,0.007101276843652173,0.009994296333734538
16,24,0.4475730308558099,0.8456867321696342,0.9534679033095017,0.864704221545253,0.7222900390625,0.7086321681854315,0.9973474256694317,0.0035104129550579876,0.0048536018586691895
17,24,0.3628559120260943,0.8465640398127284,0.9336345883784816,0.8280654672998935,0.689056396484375,0.6737640846404247,0.995092154800659,0.007110924942756242,0.008914821919880802
18,24,0.3730328109542261,0.8285848605335535,0.9572197864763439,0.8049633461050689,0.6915931701660156,0.6764256148017012,0.9555785152479075,0.005507821534450286,0.007575959931233034
19,24,0.4043752250093084,0.8105240250166948,0.9472504932200536,0.7810206873691641,0.70379638671875,0.6892289915704168,0.6672395573696122,0.009854929064400761,0.011509856989102792
20,24,0.355114021374807,0.8205031008643675,0.9434864305658266,0.7612487066653557,0.6679840087890625,0.6516553472611122,0.8046860378526617,0.014293601406147435,0.026621071275375795
21,24,0.3114102255215703,0.8486455077742361,0.9462567160371691,0.7998441313393414,0.6783256530761719,0.6625055982731283,0.8661244323011488,0.005916459088835611,0.008166119605521667
22,24,0.2734070995322964,0.85480620941413,0.9526749412762001,0.7748296972131357,0.6517486572265625,0.634621536184568,0.9448075847176369,0.011164598758447782,0.016400148823978958
23,24,0.2106833861218555,0.8463630074832782,0.9581996108172461,0.7711808712920174,0.6567916870117188,0.6399125847383402,0.9599586009862833,0.01306945420480589,0.016014691665677844
24,24,0.2276618582409809,0.850273860713246,0.9549279815983027,0.7379498223308474,0.6556015014648438,0.6386638642870821,1.0463944383373018,0.01616113530258897,0.018147637234089166
25,24,0.22227943167421446,0.8633613624430465,0.957026285585016,0.731670954672154,0.67596435546875,0.6600281701539643,1.3966390878485981,0.017393061910600697,0.01812292220449587
26,24,0.22469761788414988,0.8793557273524744,0.9385885222582147,0.7515413057990372,0.6193122863769531,0.600589934445452,1.2236300869262777,0.016342255247728275,0.012472129210752228
27,24,0.23598707256838572,0.8389798127818504,0.9343100696569309,0.7197222760878503,0.6480636596679688,0.6307553105289117,1.1754448592255358,0.02465348808018933,0.02253623282483723
28,24,0.22307062242576908,0.8385956447512244,0.9400857775472105,0.7907590082613751,0.716064453125,0.7021004040143453,1.0319010474777315,0.010134008139544692,0.007785399930121869
29,24,0.21271401849297983,0.8830113329837599,0.9473266515415162,0.7461630997131579,0.691802978515625,0.6766457434277982,1.3605147453199606,0.0134719770807198,0.008020094077562333
30,24,0.20685908558822505,0.8774785757904343,0.9114270127611235,0.7870334988692775,0.6343994140625,0.6164190507843159,0.8501095659739804,0.019815676437489476,0.01358392879744548
31,24,0.3402561944209594,0.8314662931478377,0.9440540720243007,0.8572511422680691,0.7792892456054688,0.7684346134774387,0.33843453353620134,0.0030395597875888703,0.0019075414226001385
0,32,0.7218240047497944,0.9890970399203896,0.639520589611493,0.6393779924255796,0.9192924499511719,0.915323220542632,0.02621641658606677,0.0240826342144069,0.0064529897075029825
1,32,0.7163825999749778,0.9416035736193343,0.8081023567938246,0.6999479013320524,0.8770332336425781,0.8668239338984411,2.212212851317975,0.2933183857049233,0.22371445596948303
2,32,0.40469871747639397,0.8532397481988737,0.963342756498605,0.7967642364092171,0.8125076293945312,0.8032866928260773,0.3464332232106244,0.05805288550264474,0.027518182835253306
3,32,0.43041415934436916,0.8593123258838375,0.9581234784564003,0.835134704480879,0.848602294921875,0.8411565027199686,0.10523504766752012,0.012685061607047065,0.01457264305543431
4,32,0.4786116312055682,0.8657138838505639,0.9580804194556549,0.8558286973275244,0.8402023315429688,0.8323434259509668,0.11726398128666915,0.017278532334928036,0.010510319741847275
5,32,0.4565478932620899,0.8562351081768682,0.9586048482451588,0.8655351006891578,0.8097610473632812,0.8004050313029438,0.2531480100733461,0.01553636228246784,0.015198574799568395
6,32,0.478016661333662,0.8945275932895747,0.9435224055778235,0.8696368274977431,0.8230934143066406,0.8143930870573968,0.14899086095101666,0.00883104055974931,0.008215861488795575
7,32,0.5789899666765028,0.8417995259825751,0.9359496179968119,0.8892419774783775,0.8213958740234375,0.8126120610395446,0.32385944158158964,0.01647572711246705,0.01904563576990445
8,32,0.5639918415245148,0.8639111510702945,0.944740807171911,0.8955227610422298,0.7774391174316406,0.7589610293507577,0.2543306303390812,0.009115660987648112,0.01022690249107517
9,32,0.5482724453524445,0.8805524704476645,0.9280448169447482,0.8698683419497684,0.7350349426269531,0.722003870178014,0.3375730624393327,0.010517583739267856,0.015657687875949237
10,32,0.567884044322937,0.876175260682034,0.9273741960059851,0.8426145958947018,0.7144203186035156,0.7003754114266485,0.4060025064391084,0.015379519125654597,0.015180338641392212
11,32,0.616506699094041,0.8455218668991785,0.9167147225234658,0.8560112597187981,0.7448768615722656,0.7323298164992593,0.4074417932133656,0.010785811595859134,0.01565147293894091
12,32,0.520014557001674,0.863595222968406,0.9573245497886091,0.9268297194503248,0.8288459777832031,0.820428563398309,0.6833440900518326,0.0032170535107198875,0.0032096110842395977
13,32,0.5634177125836605,0.8927339350381911,0.9358237258857116,0.8772658167872578,0.6587486267089844,0.6419657663209364,0.6546738713805098,0.005211235425507319,0.007853343008297872
14,32,0.5733661991483117,0.8761068096304041,0.9547323624137789,0.9109577973140404,0.7139472961425781,0.6998791263904423,0.49704599830147345,0.0029705751723894634,0.003203686940145378
15,32,0.37698147956477696,0.9000091940879055,0.946966006536968,0.8619448714889586,0.6948127746582031,0.679803561011795,0.6350967969628982,0.006949602675759707,0.009738448561395167
16,32,0.482112985791136,0.9109497833474266,0.9538050877163187,0.8656071093864739,0.7288742065429688,0.7155401471536607,0.9815051090845373,0.0034144584773412126,0.004736730675540615
17,32,0.3892350003493167,0.908107993865427,0.9339996738126501,0.8288790750084445,0.6927680969238281,0.6776583250029944,0.9885821664356627,0.007041140492436823,0.008839402222466876
18,32,0.40090321232254195,0.8904909233587183,0.9574017842533067,0.8055988899432123,0.6953048706054688,0.6803198581910692,0.9473624906968325,0.0054197216496290794,0.00748265430641145
19,32,0.4400827363828994,0.8820956596072813,0.9474781940225512,0.7818383841658942,0.7090797424316406,0.6947721835458651,0.6569353836821392,0.009689700104308948,0.011347549244780436
20,32,0.38415797015606845,0.8876101386099108,0.9437762334709987,0.762106426700484,0.6723976135253906,0.6562860158737749,0.7959058418055065,0.014460631532647211,0.026737344195489364
21,32,0.33349193559805573,0.908821900598191,0.9465158919338137,0.8005209557013586,0.6817512512207031,0.6660996691789478,0.852137565787416,0.005808867837155194,0.008063217757341867
22,32,0.29155201593203894,0.9115362183800018,0.9527497536037117,0.7752367110224441,0.6532859802246094,0.6362344661029056,0.9397328056220431,0.01094215626448174,0.01618219837079813
23,32,0.22372841847065256,0.8987678649078626,0.9582600679714233,0.7714623956126161,0.6579170227050781,0.6410932645667344,0.9573438476945739,0.012309887831642115,0.01532074169149034
24,32,0.24253443124029875,0.9058201000375512,0.9548880276270211,0.7383995237760246,0.6569557189941406,0.6400846830802038,1.0390408309176564,0.015519433544455149,0.01794238359880254
25,32,0.2349288961518856,0.912493478731807,0.9569380159955472,0.7317124241380952,0.6768989562988281,0.6610087357694283,1.3945761628565378,0.017502747491437997,0.018263664723822817
26,32,0.23692605509666587,0.9272118034455471,0.93861144175753,0.7516597781796008,0.620391845703125,0.6017225856776349,1.2187653116998263,0.016400370143818642,0.012478815778716155
27,32,0.2513156029152679,0.8934757111405259,0.9344895984977484,0.7202349458239041,0.6498374938964844,0.6326163813937455,1.169328981457511,0.024327785458736505,0.021960408347549
28,32,0.23704062253057032,0.8911134577992375,0.9401439490029588,0.7909215886029415,0.7170333862304688,0.7031169902184047,1.0299210670345929,0.010098578738051199,0.007753072587881468
29,32,0.22235230567539935,0.9230214690007682,0.9473254488548264,0.7461218236712739,0.6928024291992188,0.6776943447184749,1.357388925680425,0.013684114645003955,0.0081761945359149
30,32,0.21750006701473168,0.9226167102871237,0.911531119607389,0.7872883972013369,0.6352691650390625,0.6173315775813535,0.8473341797944158,0.019604322971734943,0.01344917493965178
31,32,0.3628477148920062,0.8866720119286555,0.9441556183155626,0.8574716002913192,0.7812995910644531,0.7705438282573596,0.3337835970596643,0.003023171103163344,0.001898042313055011
0,48,0.7280202603918152,0.9975876111313557,0.6395131921162829,0.639370582124684,0.9195365905761719,0.9155793694080785,0.026087703064149537,0.024064005452154626,0.006450920615783293
1,48,0.7506936873844505,0.9867016015734658,0.808314460911788,0.7002130405453499,0.8794898986816406,0.8694845635083414,2.197151535714511,0.29301598027684833,0.22342260032514455
2,48,0.44336932341945384,0.9347702711600169,0.9637973194476217,0.798265982652083,0.8167495727539062,0.8077372539555654,0.33546713000396267,0.053579422889837636,0.025431963924510102
